"","transcript","count"
"979","AMN-201",0
"980","AMN1-201",0
"981","AMOT-203",0
"982","AMOTL1-203",0
"983","AMOTL2-201",0
"984","AMPD1-203",233
"985","AMPD2-218",149
"986","AMPD3-202",143
"987","AMPH-202",0
"988","AMT-201",0
"989","AMTN-201",0
"990","AMY1A-201",0
"991","AMY1B-201",0
"992","AMY1C-201",0
"993","AMY2A-204",0
"994","AMY2B-201",0
"995","AMZ1-201",0
"996","AMZ2-206",85
"997","ANAPC1-201",451
"998","ANAPC10-217",0
"999","ANAPC11-211",469
"1000","ANAPC13-204",97
"1001","ANAPC15-201",69
"1002","ANAPC16-205",224
"1003","ANAPC2-201",230
"1004","ANAPC4-201",140
"1005","ANAPC5-201",396
"1006","ANAPC7-203",200
"1007","ANG-201",70
"1008","ANGEL1-201",0
"1009","ANGEL2-202",148
"1010","ANGPT1-202",0
"1011","ANGPT2-204",0
"1012","ANGPT4-201",0
"1013","ANGPTL1-201",0
"1014","ANGPTL2-202",0
"1015","ANGPTL3-201",0
"1016","ANGPTL4-201",0
"1017","ANGPTL5-201",0
"1018","ANGPTL6-201",0
"1019","ANGPTL7-201",0
"1020","ANGPTL8-204",0
"1021","ANHX-202",0
"1022","ANK1-205",0
"1023","ANK2-248",0
"1024","ANK3-216",0
"1025","ANKAR-209",0
"1026","ANKDD1A-201",0
"1027","ANKDD1B-204",0
"1028","ANKEF1-202",0
"1029","ANKFN1-201",0
"1030","ANKFY1-201",328
"1031","ANKH-201",0
"1032","ANKHD1-203",0
"1033","ANKHD1-EIF4EBP3-203",0
"1034","ANKIB1-201",222
"1035","ANKK1-201",0
